"species","longitude","latitude"
"Merluccius merluccius",0.25,37.75
"Merluccius merluccius",0.75,37.75
"Merluccius merluccius",2.75,37.25
"Merluccius merluccius",0.25,38.25
"Merluccius merluccius",0.75,38.25
"Merluccius merluccius",0.25,38.75
"Merluccius merluccius",0.75,38.75
"Merluccius merluccius",1.25,38.25
"Merluccius merluccius",1.25,38.75
"Merluccius merluccius",2.25,38.75
"Merluccius merluccius",2.75,38.75
"Merluccius merluccius",0.25,39.25
"Merluccius merluccius",0.25,39.75
"Merluccius merluccius",0.75,39.75
"Merluccius merluccius",1.25,39.25
"Merluccius merluccius",2.25,39.25
"Merluccius merluccius",2.75,39.25
"Merluccius merluccius",2.25,39.75
"Merluccius merluccius",2.75,39.75
"Merluccius merluccius",3.25,39.25
"Merluccius merluccius",3.75,39.25
"Merluccius merluccius",3.25,39.75
"Merluccius merluccius",3.75,39.75
"Merluccius merluccius",4.25,39.75
"Merluccius merluccius",4.75,39.75
"Merluccius merluccius",10.75,34.25
"Merluccius merluccius",17.25,31.25
"Merluccius merluccius",13.75,35.75
"Merluccius merluccius",14.25,35.75
"Merluccius merluccius",10.25,36.75
"Merluccius merluccius",12.25,36.25
"Merluccius merluccius",10.25,37.25
"Merluccius merluccius",13.25,38.25
"Merluccius merluccius",12.75,39.75
"Merluccius merluccius",15.75,38.25
"Merluccius merluccius",20.25,33.25
"Merluccius merluccius",29.75,31.25
"Merluccius merluccius",29.75,34.75
"Merluccius merluccius",21.25,36.25
"Merluccius merluccius",24.25,37.75
"Merluccius merluccius",23.25,38.75
"Merluccius merluccius",24.75,38.75
"Merluccius merluccius",25.25,37.25
"Merluccius merluccius",30.25,32.75
"Merluccius merluccius",31.75,32.25
"Merluccius merluccius",34.25,32.25
"Merluccius merluccius",34.75,32.25
"Merluccius merluccius",34.75,32.75
"Merluccius merluccius",31.25,34.25
"Merluccius merluccius",33.25,34.75
"Merluccius merluccius",34.75,34.25
"Merluccius merluccius",35.25,33.75
"Merluccius merluccius",32.75,35.25
"Merluccius merluccius",30.75,36.75
"Merluccius merluccius",35.25,35.25
"Merluccius merluccius",35.75,35.25
"Merluccius merluccius",0.25,40.25
"Merluccius merluccius",0.75,40.25
"Merluccius merluccius",0.75,40.75
"Merluccius merluccius",1.25,40.25
"Merluccius merluccius",1.25,40.75
"Merluccius merluccius",3.25,40.25
"Merluccius merluccius",3.75,40.25
"Merluccius merluccius",4.25,40.25
"Merluccius merluccius",1.25,41.25
"Merluccius merluccius",1.75,41.25
"Merluccius merluccius",2.25,41.25
"Merluccius merluccius",2.75,41.25
"Merluccius merluccius",2.75,41.75
"Merluccius merluccius",3.25,41.25
"Merluccius merluccius",3.25,41.75
"Merluccius merluccius",3.25,42.25
"Merluccius merluccius",3.75,42.25
"Merluccius merluccius",3.75,42.75
"Merluccius merluccius",3.75,43.25
"Merluccius merluccius",4.25,43.25
"Merluccius merluccius",6.25,41.75
"Merluccius merluccius",8.75,41.75
"Merluccius merluccius",9.25,41.25
"Merluccius merluccius",9.75,41.25
"Merluccius merluccius",9.25,41.75
"Merluccius merluccius",9.75,41.75
"Merluccius merluccius",8.75,42.25
"Merluccius merluccius",8.75,42.75
"Merluccius merluccius",9.75,42.25
"Merluccius merluccius",9.25,42.75
"Merluccius merluccius",9.75,42.75
"Merluccius merluccius",7.25,43.75
"Merluccius merluccius",7.75,43.75
"Merluccius merluccius",8.75,44.25
"Merluccius merluccius",9.25,44.25
"Merluccius merluccius",14.25,40.75
"Merluccius merluccius",12.25,41.75
"Merluccius merluccius",14.25,42.75
"Merluccius merluccius",14.75,42.75
"Merluccius merluccius",13.75,43.25
"Merluccius merluccius",13.25,43.75
"Merluccius merluccius",13.75,43.75
"Merluccius merluccius",14.25,43.25
"Merluccius merluccius",14.75,43.25
"Merluccius merluccius",14.25,43.75
"Merluccius merluccius",14.75,43.75
"Merluccius merluccius",12.75,44.25
"Merluccius merluccius",12.75,44.75
"Merluccius merluccius",13.25,44.25
"Merluccius merluccius",13.75,44.25
"Merluccius merluccius",13.25,44.75
"Merluccius merluccius",14.25,44.25
"Merluccius merluccius",14.75,44.25
"Merluccius merluccius",16.75,40.25
"Merluccius merluccius",18.75,40.75
"Merluccius merluccius",19.25,40.25
"Merluccius merluccius",19.75,40.25
"Merluccius merluccius",19.25,40.75
