station,lat,lon,biomIndex,reconstructed,sepia_officinalis
5,45.146525,12.51984167,68.58503723,N,0.733648
28,43.79438334,13.38290833,0,N,0.307432
65,44.09511667,12.75857503,0,N,0.00766312
76,41.99763333,15.69776669,9.379852295,N,0.465838
71,42.27199167,14.57149169,0,N,-9999.0
46,44.90625833,12.63131666,0,N,0.177837
2,45.62047501,13.14648334,8.942308426,N,0.562972
12,44.83946667,12.54676666,0,N,0.033724
17,44.33071666,12.56680002,0,N,0.0949905
25,43.96873334,13.08231667,0,N,0.144076
31,43.57400834,13.62057498,0,N,0.27534
50,43.04770833,14.01740833,5.371221542,N,0.635541
73,42.08978333,14.88977502,20.23641586,N,-9999.0
1,45.41117501,12.54552501,75.97605896,N,0.666273
3,45.64391667,13.498525,38.96112442,N,0.575601
4,45.09813333,12.38762499,1.367325425,N,-9999.0
6,45.25949167,12.88026667,67.62368011,N,0.600252
8,44.83289165,12.48650832,0,N,1.7759E-9
16,44.29731666,12.38282499,0,N,-9999.0
21,44.1692,12.74200834,0,N,0.175223
24,43.91483332,13.02705,0,N,0.144076
27,43.79359166,13.19315,0,N,-9999.0
33,43.38139167,13.73317499,0,N,-9999.0
34,43.351675,13.88851668,0,N,0.438845
37,43.11065,13.93334999,0,N,0.442336
43,45.35467501,12.38995833,8.325392723,N,0.771213
44,45.46078332,12.705325,10.79615498,N,0.592633
47,44.57825832,12.54706666,18.95112991,N,0.33073
49,43.57014999,13.77529167,0,N,0.339566
55,45.38543334,12.45853333,16.37882996,N,0.774402
56,45.33499999,12.86799167,88.02841187,N,0.602854
63,44.21081667,12.59764999,0,N,0.0733819
64,44.1441,12.52466667,0,N,0.0816381
66,43.592875,13.67936665,0,N,0.27534
70,42.57848336,14.235675,0,N,0.38528
74,41.98096666,15.08466667,0,N,-9999.0
54,44.22863333,12.98753332,57.33778763,N,0.776444
61,44.454175,12.66088333,0,N,0.407797
67,43.34642499,13.98769169,0,N,0.446755
9,45.00741668,12.9279,31.50221252,N,0.695365
18,44.39224165,12.84930833,129.212265,N,0.68144
51,45.33629166,13.07790833,66.88956451,N,0.534604
13,44.61004168,12.71627499,6.09827137,N,0.609416
14,44.71836665,13.08529167,20.08836746,N,0.477517
19,44.45071667,13.15789166,68.76262665,N,0.333226
29,43.71669168,13.62533334,6.714026451,N,0.77112
57,45.0592,12.74921665,50.22091675,N,0.753769
59,44.69525833,12.76506666,0,N,0.609416
30,43.96221666,13.95245002,0,N,0.0942171
35,43.44609167,14.22060833,23.02576065,N,0.112837
38,43.37661667,14.17183333,59.20518875,N,0.325507
26,44.04948333,13.32261667,92.1030426,N,0.401639
36,43.69486666,13.72405831,31.06563377,N,0.632343
69,42.66505833,14.25287499,55.84157181,N,0.639946
72,42.25395833,14.99443332,22.67025566,N,0.556726
75,42.054375,15.48146667,7.821101665,N,0.546906
45,45.57059167,13.53157501,121.5956879,N,0.686271
10,45.08451666,13.23520834,57.68128204,Y,0.304001
22,44.40458333,13.6511,48.37010193,Y,0.0223366
23,44.34109166,14.034125,40.78026962,Y,0.0199471
32,44.04948333,14.49949168,33.36045074,Y,0.00952611
48,44.064675,12.62364168,1.700404525,Y,-9999.0
53,44.56491664,13.55423333,55.36163712,Y,0.026679
58,45.02860833,13.24470833,55.72250748,Y,0.304001
60,44.67757498,13.48625,57.45154953,Y,0.0386395
62,44.44135,12.72975833,20.78958893,Y,0.483769
68,42.89868336,13.97731667,11.48133469,Y,-9999.0
